simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
64,11,ebook_second,22.504999999999995,7.389999999999986,1.9800000000000182,30.299999999999727,eBook,500
64,12,ebook_second,22.50999999999999,7.390000000000043,1.9800000000000182,30.599999999999454,eBook,500
64,13,ebook_second,22.420000000000016,7.185000000000002,1.9800000000000182,25.200000000000955,None,500
70,1,ebook_second,23.315,6.489999999999998,3.5,78.90000000000008,None,500
70,2,ebook_second,23.115000000000002,6.674999999999997,3.0650000000000013,66.90000000000012,Book,500
70,3,ebook_second,22.705,6.659999999999997,3.030000000000001,42.2999999999999,Book,500
70,4,ebook_second,22.320000000000007,6.679999999999993,2.5400000000000063,19.200000000000443,Book,500
70,5,ebook_second,22.03,6.700000000000003,2.180000000000007,1.8000000000000682,Book,500
70,6,ebook_second,21.995000000000005,6.664999999999992,1.9150000000000063,0.0,Book,500
70,7,ebook_second,21.995000000000005,6.409999999999997,1.7150000000000034,0.0,None,500
70,8,ebook_second,22.034999999999997,6.655000000000001,1.460000000000008,2.0999999999997954,eBook,500
70,9,ebook_second,22.080000000000013,6.650000000000006,1.9800000000000182,4.80000000000075,eBook,500
70,10,ebook_second,22.090000000000003,6.650000000000006,1.9749999999999943,5.400000000000205,eBook,500
70,11,ebook_second,22.090000000000032,6.649999999999977,1.9800000000000182,5.40000000000191,eBook,500
70,12,ebook_second,22.095000000000027,6.649999999999977,1.9800000000000182,5.700000000001637,eBook,500
70,13,ebook_second,21.995000000000005,6.454999999999984,1.9800000000000182,0.0,None,500
58,1,ebook_second,22.5,6.870000000000001,3.5,30.0,None,500
58,2,ebook_second,22.165,7.170000000000002,3.0600000000000023,9.899999999999949,Book,500
58,3,ebook_second,21.995000000000005,7.090000000000003,3.030000000000001,0.0,Book,500
58,4,ebook_second,21.995000000000005,7.015000000000001,2.5400000000000063,0.0,Book,500
58,5,ebook_second,21.995000000000005,6.950000000000003,2.180000000000007,0.0,Book,500
58,6,ebook_second,21.995000000000005,6.89500000000001,1.9150000000000063,0.0,Book,500
58,7,ebook_second,21.995000000000005,6.625,1.7150000000000034,0.0,None,500
58,8,ebook_second,21.995000000000005,6.930000000000007,1.460000000000008,0.0,eBook,500
58,9,ebook_second,21.995000000000005,6.914999999999992,1.9800000000000182,0.0,eBook,500
58,10,ebook_second,21.995000000000005,6.914999999999992,1.9749999999999943,0.0,eBook,500
58,11,ebook_second,21.995000000000005,6.920000000000016,1.9800000000000182,0.0,eBook,500
58,12,ebook_second,21.995000000000005,6.920000000000016,1.9800000000000182,0.0,eBook,500
58,13,ebook_second,21.995000000000005,6.680000000000007,1.9800000000000182,0.0,None,500
66,1,ebook_second,23.055,6.715,3.5,63.29999999999998,None,500
66,2,ebook_second,22.855000000000004,6.909999999999997,3.0650000000000013,51.30000000000024,Book,500
66,3,ebook_second,22.47,6.88000000000001,3.030000000000001,28.199999999999932,Book,500
66,4,ebook_second,22.085000000000008,6.905000000000001,2.5400000000000063,5.1000000000004775,Book,500
66,5,ebook_second,21.995000000000005,6.875,2.180000000000007,0.0,Book,500
66,6,ebook_second,21.995000000000005,6.819999999999993,1.9150000000000063,0.0,Book,500
66,7,ebook_second,21.995000000000005,6.564999999999998,1.7150000000000034,0.0,None,500
66,8,ebook_second,21.995000000000005,6.835000000000008,1.460000000000008,0.0,eBook,500
66,9,ebook_second,21.995000000000005,6.835000000000008,1.9800000000000182,0.0,eBook,500
66,10,ebook_second,21.995000000000005,6.840000000000003,1.9749999999999943,0.0,eBook,500
66,11,ebook_second,21.995000000000005,6.839999999999975,1.9800000000000182,0.0,eBook,500
66,12,ebook_second,21.995000000000005,6.839999999999975,1.9800000000000182,0.0,eBook,500
66,13,ebook_second,21.995000000000005,6.615000000000009,1.9800000000000182,0.0,None,500
67,1,ebook_second,23.335,6.66,3.5,80.10000000000005,None,500
67,2,ebook_second,23.205,6.790000000000006,3.0650000000000013,72.2999999999999,Book,500
67,3,ebook_second,22.820000000000007,7.174999999999997,3.030000000000001,49.20000000000044,Book,500
67,4,ebook_second,22.590000000000003,7.170000000000002,2.5400000000000063,35.400000000000205,Book,500
67,5,ebook_second,22.33,7.170000000000002,2.180000000000007,19.799999999999898,Book,500
67,6,ebook_second,22.11500000000001,7.185000000000002,1.9150000000000063,6.900000000000546,Book,500
67,7,ebook_second,22.069999999999993,6.950000000000017,1.7150000000000034,4.199999999999591,None,500
67,8,ebook_second,22.275000000000006,7.185000000000002,1.460000000000008,16.50000000000034,eBook,500
67,9,ebook_second,22.370000000000005,7.14500000000001,1.9800000000000182,22.200000000000273,eBook,500
67,10,ebook_second,22.379999999999995,7.140000000000015,1.9749999999999943,22.799999999999727,eBook,500
67,11,ebook_second,22.38499999999999,7.139999999999986,1.9800000000000182,23.099999999999454,eBook,500
67,12,ebook_second,22.38499999999999,7.140000000000043,1.9800000000000182,23.099999999999454,eBook,500
67,13,ebook_second,22.29000000000002,6.944999999999993,1.9800000000000182,17.400000000001228,None,500
81,1,ebook_second,21.995,6.254999999999999,3.5,0.0,None,500
81,2,ebook_second,21.994999999999997,6.490000000000002,3.0600000000000023,0.0,Book,500
81,3,ebook_second,21.995000000000005,6.429999999999993,3.030000000000001,0.0,Book,500
81,4,ebook_second,21.995000000000005,6.3799999999999955,2.5400000000000063,0.0,Book,500
81,5,ebook_second,21.995000000000005,6.329999999999998,2.180000000000007,0.0,Book,500
81,6,ebook_second,21.995000000000005,6.289999999999992,1.9150000000000063,0.0,Book,500
81,7,ebook_second,21.995000000000005,6.034999999999997,1.7150000000000034,0.0,None,500
81,8,ebook_second,21.995000000000005,6.280000000000001,1.460000000000008,0.0,eBook,500
81,9,ebook_second,21.995000000000005,6.284999999999997,1.9800000000000182,0.0,eBook,500
81,10,ebook_second,21.995000000000005,6.284999999999997,1.9749999999999943,0.0,eBook,500
81,11,ebook_second,21.995000000000005,6.285000000000025,1.9800000000000182,0.0,eBook,500
81,12,ebook_second,21.995000000000005,6.285000000000025,1.9800000000000182,0.0,eBook,500
81,13,ebook_second,21.995000000000005,6.074999999999989,1.9800000000000182,0.0,None,500
95,1,ebook_second,22.745,6.73,3.5,44.70000000000006,None,500
95,2,ebook_second,22.465000000000003,6.964999999999996,3.0600000000000023,27.900000000000205,Book,500
95,3,ebook_second,22.070000000000007,6.949999999999989,3.030000000000001,4.200000000000443,Book,500
95,4,ebook_second,21.995000000000005,6.8999999999999915,2.5400000000000063,0.0,Book,500
95,5,ebook_second,21.995000000000005,6.840000000000003,2.180000000000007,0.0,Book,500
95,6,ebook_second,21.995000000000005,6.784999999999997,1.9150000000000063,0.0,Book,500
95,7,ebook_second,21.995000000000005,6.539999999999992,1.7150000000000034,0.0,None,500
95,8,ebook_second,21.995000000000005,6.789999999999992,1.460000000000008,0.0,eBook,500
95,9,ebook_second,21.995000000000005,6.800000000000011,1.9800000000000182,0.0,eBook,500
95,10,ebook_second,21.995000000000005,6.800000000000011,1.9749999999999943,0.0,eBook,500
95,11,ebook_second,21.995000000000005,6.800000000000011,1.9800000000000182,0.0,eBook,500
95,12,ebook_second,21.995000000000005,6.800000000000011,1.9800000000000182,0.0,eBook,500
95,13,ebook_second,21.995000000000005,6.589999999999975,1.9800000000000182,0.0,None,500
57,1,ebook_second,21.995,6.57,3.5,0.0,None,500
57,2,ebook_second,21.994999999999997,6.82,3.0600000000000023,0.0,Book,500
57,3,ebook_second,21.995000000000005,6.724999999999994,3.030000000000001,0.0,Book,500
57,4,ebook_second,21.995000000000005,6.659999999999997,2.5400000000000063,0.0,Book,500
57,5,ebook_second,21.995000000000005,6.599999999999994,2.180000000000007,0.0,Book,500
57,6,ebook_second,21.995000000000005,6.555000000000007,1.9150000000000063,0.0,Book,500
57,7,ebook_second,21.995000000000005,6.284999999999997,1.7150000000000034,0.0,None,500
57,8,ebook_second,21.995000000000005,6.564999999999998,1.460000000000008,0.0,eBook,500
57,9,ebook_second,21.995000000000005,6.560000000000002,1.9800000000000182,0.0,eBook,500
57,10,ebook_second,21.995000000000005,6.560000000000002,1.9749999999999943,0.0,eBook,500
57,11,ebook_second,21.995000000000005,6.564999999999998,1.9800000000000182,0.0,eBook,500
57,12,ebook_second,21.995000000000005,6.564999999999998,1.9800000000000182,0.0,eBook,500
57,13,ebook_second,21.995000000000005,6.3349999999999795,1.9800000000000182,0.0,None,500
94,1,ebook_second,23.325,6.670000000000002,3.5,79.49999999999996,None,500
94,2,ebook_second,23.205,6.790000000000006,3.0650000000000013,72.2999999999999,Book,500
94,3,ebook_second,22.83,7.165000000000006,3.030000000000001,49.7999999999999,Book,500
94,4,ebook_second,22.629999999999995,7.365000000000009,2.5400000000000063,37.79999999999973,Book,500
94,5,ebook_second,22.47500000000001,7.519999999999996,2.180000000000007,28.50000000000051,Book,500
94,6,ebook_second,22.360000000000014,7.634999999999991,1.9150000000000063,21.60000000000082,Book,500
94,7,ebook_second,22.405,7.590000000000003,1.7150000000000034,24.300000000000068,None,500
94,8,ebook_second,22.680000000000007,7.314999999999998,1.460000000000008,40.80000000000041,eBook,500
94,9,ebook_second,22.590000000000003,7.405000000000001,1.9850000000000136,35.400000000000205,eBook,500
94,10,ebook_second,22.605000000000018,7.389999999999986,1.9800000000000182,36.30000000000109,eBook,500
94,11,ebook_second,22.605000000000018,7.389999999999986,1.9800000000000182,36.30000000000109,eBook,500
94,12,ebook_second,22.605000000000018,7.389999999999986,1.9800000000000182,36.30000000000109,eBook,500
94,13,ebook_second,22.519999999999982,7.475000000000023,1.9850000000000136,31.19999999999891,None,500
96,1,ebook_second,23.095,6.900000000000002,3.5,65.69999999999993,None,500
96,2,ebook_second,22.97,7.025000000000006,3.0650000000000013,58.19999999999993,Book,500
96,3,ebook_second,22.585000000000008,7.35499999999999,3.030000000000001,35.10000000000048,Book,500
96,4,ebook_second,22.325000000000003,7.310000000000002,2.5400000000000063,19.50000000000017,Book,500
96,5,ebook_second,22.045,7.320000000000007,2.180000000000007,2.7000000000001023,Book,500
96,6,ebook_second,21.995000000000005,7.284999999999997,1.9150000000000063,0.0,Book,500
96,7,ebook_second,21.995000000000005,7.039999999999992,1.7150000000000034,0.0,None,500
96,8,ebook_second,22.004999999999995,7.314999999999998,1.460000000000008,0.29999999999972715,eBook,500
96,9,ebook_second,22.075000000000017,7.2949999999999875,1.9800000000000182,4.500000000001023,eBook,500
96,10,ebook_second,22.085000000000008,7.289999999999992,1.9749999999999943,5.1000000000004775,eBook,500
96,11,ebook_second,22.090000000000032,7.289999999999964,1.9800000000000182,5.40000000000191,eBook,500
96,12,ebook_second,22.090000000000032,7.289999999999964,1.9800000000000182,5.40000000000191,eBook,500
96,13,ebook_second,21.995000000000005,7.095000000000027,1.9800000000000182,0.0,None,500
82,1,ebook_second,21.995,6.75,3.5,0.0,None,500
82,2,ebook_second,21.994999999999997,6.990000000000002,3.0600000000000023,0.0,Book,500
82,3,ebook_second,21.995000000000005,6.884999999999991,3.030000000000001,0.0,Book,500
