simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition
99,4,regular,22.595,7.400000000000006,3.8599999999999994,35.69999999999993,None
99,5,regular,22.595,7.400000000000006,3.8599999999999994,35.69999999999993,None
99,6,regular,22.595,7.400000000000006,3.8599999999999994,35.69999999999993,None
99,7,regular,22.595,7.400000000000006,3.8600000000000136,35.69999999999993,None
99,8,regular,22.595,7.400000000000006,3.8600000000000136,35.69999999999993,None
99,9,regular,22.595,7.400000000000006,3.8600000000000136,35.69999999999993,None
99,10,regular,22.595,7.400000000000006,3.8600000000000136,35.69999999999993,None
99,11,regular,22.595000000000027,7.399999999999977,3.8600000000000136,35.70000000000164,None
99,12,regular,22.595000000000027,7.399999999999977,3.8600000000000136,35.70000000000164,None
99,13,regular,22.595000000000027,7.399999999999977,3.8600000000000136,35.70000000000164,None
99,1,ebook_first,23.125,6.870000000000001,3.865000000000002,67.5,None
99,2,ebook_first,23.33,6.665000000000006,4.344999999999999,79.7999999999999,eBook
99,3,ebook_first,23.400000000000006,6.594999999999999,4.865000000000002,84.00000000000034,eBook
99,4,ebook_first,23.5,6.4950000000000045,5.075000000000003,90.0,eBook
99,5,ebook_first,23.58,6.415000000000006,5.260000000000005,94.7999999999999,eBook
99,6,ebook_first,23.655,6.340000000000003,5.420000000000002,99.30000000000007,eBook
99,7,ebook_first,23.88499999999999,6.110000000000014,5.564999999999998,113.09999999999945,None
99,8,ebook_first,24.080000000000013,5.914999999999992,5.8799999999999955,0.0,Book
99,9,ebook_first,24.039999999999992,5.9550000000000125,6.0,0.0,Book
99,10,ebook_first,24.075000000000017,5.9199999999999875,6.0,0.0,Book
99,11,ebook_first,24.08499999999998,5.910000000000025,6.0,0.0,Book
99,12,ebook_first,24.100000000000023,5.894999999999982,6.0,0.0,Book
99,1,ebook_second,23.125,6.870000000000001,3.865000000000002,67.5,None
99,2,ebook_second,23.325000000000003,6.670000000000002,4.344999999999999,79.50000000000017,Book
99,3,ebook_second,23.375,6.6200000000000045,4.825000000000003,82.5,Book
99,4,ebook_second,23.460000000000008,6.534999999999997,4.9950000000000045,87.60000000000048,Book
99,5,ebook_second,23.53,6.465000000000003,5.150000000000006,91.80000000000007,Book
99,6,ebook_second,23.595,6.400000000000006,5.284999999999997,95.69999999999993,Book
99,7,ebook_second,23.814999999999998,6.180000000000007,5.414999999999992,108.89999999999986,None
99,8,ebook_second,23.985000000000014,6.009999999999991,5.735000000000014,119.10000000000082,eBook
99,9,ebook_second,23.955000000000013,6.039999999999992,6.0,117.30000000000075,eBook
99,10,ebook_second,23.995000000000005,6.0,6.0,119.70000000000027,eBook
99,11,ebook_second,24.014999999999986,5.980000000000018,6.0,0.0,eBook
99,12,ebook_second,24.03000000000003,5.964999999999975,6.0,0.0,eBook
100,1,regular,23.305,6.690000000000001,4.565000000000001,78.29999999999998,None
100,2,regular,23.335,6.660000000000004,4.635000000000002,80.10000000000005,None
100,3,regular,23.36,6.635000000000005,4.695,81.59999999999997,None
100,4,regular,23.385000000000005,6.609999999999999,4.75,83.1000000000003,None
100,5,regular,23.409999999999997,6.585000000000008,4.799999999999997,84.5999999999998,None
100,6,regular,23.42500000000001,6.569999999999993,4.840000000000003,85.50000000000068,None
100,7,regular,23.444999999999993,6.550000000000011,4.8799999999999955,86.69999999999959,None
100,8,regular,23.460000000000008,6.534999999999997,4.909999999999997,87.60000000000048,None
100,9,regular,23.474999999999994,6.52000000000001,4.944999999999993,88.49999999999966,None
100,10,regular,23.49000000000001,6.5049999999999955,4.969999999999999,89.40000000000055,None
100,11,regular,23.5,6.4950000000000045,4.9950000000000045,90.0,None
100,12,regular,23.50999999999999,6.485000000000014,5.019999999999982,90.59999999999945,None
100,13,regular,23.519999999999982,6.475000000000023,5.0400000000000205,91.19999999999891,None
100,1,ebook_first,22.95,7.045000000000002,4.565000000000001,56.99999999999996,None
100,2,ebook_first,22.755000000000003,7.240000000000002,4.025000000000002,45.30000000000015,eBook
100,3,ebook_first,22.510000000000005,7.314999999999998,3.634999999999998,30.600000000000307,eBook
100,4,ebook_first,22.195000000000007,7.259999999999991,3.1950000000000074,11.700000000000443,eBook
100,5,ebook_first,21.995000000000005,7.224999999999994,2.7750000000000057,0.0,eBook
100,6,ebook_first,21.995000000000005,7.134999999999991,2.3700000000000045,0.0,eBook
100,7,ebook_first,21.995000000000005,6.949999999999989,1.9850000000000136,0.0,None
100,8,ebook_first,21.995000000000005,6.865000000000009,1.4399999999999977,0.0,Book
100,9,ebook_first,21.995000000000005,6.764999999999986,1.0900000000000034,0.0,Book
100,10,ebook_first,21.995000000000005,6.659999999999997,0.710000000000008,0.0,Book
100,11,ebook_first,21.995000000000005,6.555000000000007,0.3499999999999943,0.0,Book
100,12,ebook_first,21.995000000000005,6.4599999999999795,0.014999999999986358,0.0,Book
