,p,k,tauc,sleep_time,number_of_switches,x_f,xc_f,n_f,H_f,S_f
72,0.6000000000000001,1.0,24.1,7.490318550905684,1.0,-0.8442674892726397,-0.6254945363829921,0.15996243827182915,13.879899920241538,1.0
73,0.6000000000000001,1.0,24.4,7.705184259837601,2.0,-0.7775397747175501,-0.7672970701308839,0.15996243827182915,14.170136158402295,1.0
74,0.6000000000000001,1.0,24.7,7.485321673953779,2.0,-0.6933021298470206,-0.8733746659408509,0.15996243827182915,14.54066057645671,1.0
75,0.8,-1.0,23.5,6.046221111805122,2.0,-0.011047179816079302,-1.0252633309454413,0.14083789774766803,17.23400710700219,1.0
76,0.8,-1.0,23.8,6.760774515927546,2.0,-0.30619738956226594,-0.9932422386725714,0.14083789774766803,16.189941041202584,1.0
77,0.8,-1.0,24.1,4.517176764522174,1.0,0.2034254122072136,0.39408853510531716,0.14083789774766803,14.808742642249928,1.0
78,0.8,-1.0,24.4,6.286071205496564,2.0,0.027350677961310896,-1.0491562748558207,0.14083789774766803,17.167049256099585,0.0
79,0.8,-1.0,24.7,4.707058088694566,1.0,-0.07593496725784134,0.46938707331882906,0.14083789774766803,14.77785912261916,1.0
80,0.8,-0.5,23.5,7.230480949406621,2.0,-0.5920259180926315,-0.865605703876988,0.14083789774766803,14.979508080250232,1.0
81,0.8,-0.5,23.8,6.7008119925046845,2.0,-0.34976149426555875,-0.994294473891946,0.14083789774766803,15.92482630431342,1.0
82,0.8,-0.5,24.1,4.137414116177389,2.0,0.48969963942900324,-0.2743358908950323,0.14083789774766803,17.668817329831935,0.0
83,0.8,-0.5,24.4,4.647095565271705,1.0,-0.3709353180945619,0.10786968096251459,0.14083789774766803,14.768712588920975,1.0
84,0.8,-0.5,24.7,4.792004996876952,2.0,0.558889261143167,-0.7448847443214413,0.14083789774766803,17.495257254591557,0.0
85,0.8,0.0,23.5,7.505309181761399,2.0,-0.7864425449029762,-0.6916480872535995,0.14083789774766803,13.93133830426214,1.0
86,0.8,0.0,23.8,7.395377888819488,2.0,-0.658882245562497,-0.8374131789943265,0.14083789774766803,14.69438760750283,1.0
87,0.8,0.0,24.1,7.015615240474704,2.0,-0.4927355880928645,-0.9544506423305654,0.14083789774766803,15.357504085148735,1.0
88,0.8,0.0,24.4,6.585883822610868,2.0,-0.282420102277354,-1.0389671331661081,0.14083789774766803,16.13592140186329,1.0
89,0.8,0.0,24.7,6.061211742660837,2.0,-0.004848411700127691,-1.0657802508645353,0.14083789774766803,17.137350998401324,1.0
90,0.8,0.5,23.5,7.12054965646471,1.0,-0.8849964624956509,-0.4656724677354916,0.14083789774766803,14.011693181887344,1.0
91,0.8,0.5,23.8,7.5153029356652095,1.0,-0.817962478791724,-0.6618448053900706,0.14083789774766803,13.87083406728073,1.0
92,0.8,0.5,24.1,7.53529044347283,2.0,-0.7137865961286227,-0.8095982413606322,0.14083789774766803,14.455798587778093,1.0
93,0.8,0.5,24.4,7.225484072454716,2.0,-0.5849058797269283,-0.9226482365248417,0.14083789774766803,14.988215035386519,1.0
94,0.8,0.5,24.7,6.910680824484697,2.0,-0.43681529032575134,-1.007219146100283,0.14083789774766803,15.536757863170918,1.0
95,0.8,1.0,23.5,5.7364147407870085,1.0,-0.6216714378332667,0.27716095425710835,0.14083789774766803,14.466320269264441,1.0
96,0.8,1.0,23.8,6.950655840099937,1.0,-0.8877990965458084,-0.37666826229266787,0.14083789774766803,14.070773942031192,1.0
97,0.8,1.0,24.1,7.485321673953779,1.0,-0.8457186708643802,-0.621740847512772,0.14083789774766803,13.881912350155613,1.0
98,0.8,1.0,24.4,7.660212367270456,2.0,-0.7608341612130466,-0.7791318772423154,0.14083789774766803,14.245323566912454,1.0
