simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
86,19.0,6.0,11.0,0.6499999999999999,0.55,23.95,7.645000000000003,24.165,2.0,21.990000000000002,-0.3087702632429825,-1.0414187112362205,0.7401762445566982,16.538035927763936,0.0
87,19.0,6.0,11.0,0.6499999999999999,0.55,24.1,7.574999999999999,24.42,2.0,22.3,-0.23373201338096183,-1.0853544078719355,0.7401762445566982,16.50757014577947,0.0
88,19.0,6.0,11.0,0.6499999999999999,0.55,24.25,7.324999999999999,24.67,2.0,22.605,-0.15773371274756232,-1.1208364027529034,0.7401762445566982,16.55175543924439,0.0
89,19.0,6.0,11.0,0.6499999999999999,0.55,24.4,7.155000000000001,24.84,2.0,22.900000000000002,-0.08107305714774404,-1.148476928020729,0.7401762445566982,16.587659382701148,0.0
90,19.0,6.0,11.0,0.6499999999999999,0.625,23.8,7.465,23.995,2.0,21.53,-0.4124333893487561,-0.9632699995875911,0.7401762445566982,16.651982076944808,0.0
91,19.0,6.0,11.0,0.6499999999999999,0.625,23.95,7.614999999999998,24.060000000000002,2.0,21.865000000000002,-0.34078360188360723,-1.0210126537417257,0.7401762445566982,16.573018655346353,0.0
92,19.0,6.0,11.0,0.6499999999999999,0.625,24.1,7.68,24.315,2.0,22.18,-0.2672596119114563,-1.0690836709716565,0.7401762445566982,16.488901243215363,0.0
93,19.0,6.0,11.0,0.6499999999999999,0.625,24.25,7.434999999999999,24.560000000000002,2.0,22.485,-0.1930542083428883,-1.1082163554452715,0.7401762445566982,16.531143888401218,0.0
94,19.0,6.0,11.0,0.6499999999999999,0.625,24.4,7.245000000000001,24.75,2.0,22.775000000000002,-0.11807629254350392,-1.1394909760374587,0.7401762445566982,16.568593618075685,0.0
95,19.0,6.0,11.0,0.6499999999999999,0.7,23.8,7.395,23.995,2.0,21.395,-0.44260387596518125,-0.9349277902853952,0.7401762445566982,16.68221293036386,0.0
96,19.0,6.0,11.0,0.6499999999999999,0.7,23.95,7.574999999999999,23.995,2.0,21.740000000000002,-0.37210316755830847,-0.9982924602186024,0.7401762445566982,16.604086054582453,0.0
97,19.0,6.0,11.0,0.6499999999999999,0.7,24.1,7.684999999999999,24.21,2.0,22.060000000000002,-0.30024876706343145,-1.0506135531287966,0.7401762445566982,16.51054869229414,0.0
98,19.0,6.0,11.0,0.6499999999999999,0.7,24.25,7.539999999999999,24.455000000000002,2.0,22.365000000000002,-0.2271151088816655,-1.09388229940422,0.7401762445566982,16.512003747410056,0.0
99,19.0,6.0,11.0,0.6499999999999999,0.7,24.4,7.324999999999999,24.67,2.0,22.655,-0.15372050188224995,-1.1287405969649877,0.7401762445566982,16.55175527289888,0.0
100,19.0,6.0,11.0,0.7,0.4,23.8,7.594999999999999,24.1,2.0,21.89,-0.32380512709564413,-1.0268928348689355,0.7179509376030038,16.57370698800488,0.0
101,19.0,6.0,11.0,0.7,0.4,23.95,7.629999999999999,24.365000000000002,2.0,22.225,-0.24421050258246366,-1.0729252280904016,0.7179509376030038,16.499997386328573,0.0
102,19.0,6.0,11.0,0.7,0.4,24.1,7.359999999999999,24.635,2.0,22.55,-0.16286762316811443,-1.1099297807605266,0.7179509376030038,16.547687553136615,0.0
103,19.0,6.0,11.0,0.7,0.4,24.25,7.135000000000002,24.86,2.0,22.87,-0.07978979518746285,-1.1384901729533796,0.7179509376030038,16.591920497158554,0.0
104,19.0,6.0,11.0,0.7,0.4,24.4,6.945,25.05,2.0,23.185000000000002,0.004362603098076621,-1.1585109389017096,0.7179509376030038,16.632795643690827,0.0
105,19.0,6.0,11.0,0.7,0.475,23.8,7.57,23.995,2.0,21.765,-0.3559361614210359,-1.0063261529991359,0.7179509376030038,16.60629861212975,0.0
106,19.0,6.0,11.0,0.7,0.475,23.95,7.66,24.26,2.0,22.1,-0.27851078442226834,-1.056346353564906,0.7179509376030038,16.511170479382013,0.0
107,19.0,6.0,11.0,0.7,0.475,24.1,7.469999999999999,24.525000000000002,2.0,22.425,-0.19884095158095424,-1.0974082844783324,0.7179509376030038,16.527133682189007,0.0
108,19.0,6.0,11.0,0.7,0.475,24.25,7.23,24.765,2.0,22.740000000000002,-0.11800175499628507,-1.1297411278315033,0.7179509376030038,16.571758125208195,0.0
109,19.0,6.0,11.0,0.7,0.475,24.4,7.045000000000002,24.95,2.0,23.05,-0.036306105809837036,-1.153726675157619,0.7179509376030038,16.611205498206303,0.0
110,19.0,6.0,11.0,0.7,0.55,23.8,7.509999999999998,23.995,2.0,21.635,-0.3873187937643994,-0.9834814852627154,0.7179509376030038,16.63222555942976,0.0
111,19.0,6.0,11.0,0.7,0.55,23.95,7.634999999999998,24.155,2.0,21.975,-0.3114698317232326,-1.0380694213640775,0.7179509376030038,16.54428813228063,0.0
112,19.0,6.0,11.0,0.7,0.55,24.1,7.574999999999999,24.42,2.0,22.3,-0.23356069093060228,-1.0831278554388957,0.7179509376030038,16.508032998112718,0.0
113,19.0,6.0,11.0,0.7,0.55,24.25,7.315000000000001,24.68,2.0,22.615000000000002,-0.15467160316133094,-1.1192040259109155,0.7179509376030038,16.55384585307052,0.0
114,19.0,6.0,11.0,0.7,0.55,24.4,7.140000000000001,24.855,2.0,22.92,-0.07511024541263367,-1.1469522213393324,0.7179509376030038,16.5908645451744,0.0
115,19.0,6.0,11.0,0.7,0.625,23.8,7.449999999999999,23.995,2.0,21.505,-0.41811234820886006,-0.9580311841487553,0.7179509376030038,16.65847632186925,0.0
116,19.0,6.0,11.0,0.7,0.625,23.95,7.609999999999999,24.05,2.0,21.855,-0.343604850902559,-1.0177219402676732,0.7179509376030038,16.577429683807463,0.0
117,19.0,6.0,11.0,0.7,0.625,24.1,7.68,24.315,2.0,22.18,-0.26721421283266567,-1.0670372732678026,0.7179509376030038,16.489124237467784,0.0
118,19.0,6.0,11.0,0.7,0.625,24.25,7.420000000000002,24.575,2.0,22.495,-0.19014670899810074,-1.1068616458376412,0.7179509376030038,16.53424104024752,0.0
119,19.0,6.0,11.0,0.7,0.625,24.4,7.225000000000001,24.77,2.0,22.795,-0.11231947991049619,-1.1383399536288865,0.7179509376030038,16.572805475529137,0.0
120,19.0,6.0,11.0,0.7,0.7,23.8,7.384999999999998,23.995,2.0,21.365000000000002,-0.44848321257003554,-0.9295083170478515,0.7179509376030038,16.686516250703537,0.0
121,19.0,6.0,11.0,0.7,0.7,23.95,7.57,23.995,2.0,21.725,-0.3750768408924663,-0.99506559330449,0.7179509376030038,16.606273868098043,0.0
122,19.0,6.0,11.0,0.7,0.7,24.1,7.68,24.21,2.0,22.060000000000002,-0.3003458885535153,-1.0487719258539303,0.7179509376030038,16.512798251815543,0.0
123,19.0,6.0,11.0,0.7,0.7,24.25,7.530000000000001,24.465,2.0,22.375,-0.22436375883994478,-1.0928256687823166,0.7179509376030038,16.514053976796934,0.0
124,19.0,6.0,11.0,0.7,0.7,24.4,7.309999999999999,24.685000000000002,2.0,22.675,-0.1481570505787643,-1.1279763351441974,0.7179509376030038,16.55489688923623,0.0
