lights_on,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
9,7,ebook_second,22.560000000000002,7.435000000000002,3.6100000000000136,33.600000000000136,None,90
9,8,ebook_second,22.64500000000001,7.349999999999994,3.414999999999992,38.700000000000614,eBook,90
9,9,ebook_second,22.534999999999997,7.460000000000008,3.625,32.099999999999795,eBook,90
9,10,ebook_second,22.5,7.4950000000000045,3.509999999999991,30.0,eBook,90
9,11,ebook_second,22.465000000000032,7.529999999999973,3.420000000000016,27.90000000000191,eBook,90
9,12,ebook_second,22.435000000000002,7.560000000000002,3.355000000000018,26.100000000000136,eBook,90
9,13,ebook_second,22.410000000000025,7.430000000000007,3.3000000000000114,24.6000000000015,None,90
8,1,ebook_second,23.45,6.545000000000002,5.5,86.99999999999996,None,90
8,2,ebook_second,23.36,6.635000000000005,5.155000000000001,81.59999999999997,Book,90
8,3,ebook_second,23.019999999999996,6.9750000000000085,4.9950000000000045,61.19999999999976,Book,90
8,4,ebook_second,22.795,7.200000000000003,4.460000000000008,47.7000000000001,Book,90
8,5,ebook_second,22.590000000000003,7.405000000000001,4.0049999999999955,35.400000000000205,Book,90
8,6,ebook_second,22.42500000000001,7.569999999999993,3.625,25.500000000000682,Book,90
8,7,ebook_second,22.420000000000016,7.424999999999983,3.3149999999999977,25.200000000000955,None,90
8,8,ebook_second,22.455000000000013,7.539999999999992,3.1500000000000057,27.30000000000075,eBook,90
8,9,ebook_second,22.460000000000008,7.534999999999997,3.405000000000001,27.600000000000477,eBook,90
8,10,ebook_second,22.430000000000007,7.564999999999998,3.335000000000008,25.80000000000041,eBook,90
8,11,ebook_second,22.410000000000025,7.5849999999999795,3.2849999999999966,24.6000000000015,eBook,90
8,12,ebook_second,22.389999999999986,7.595000000000027,3.2450000000000045,23.39999999999918,eBook,90
8,13,ebook_second,22.360000000000014,7.4150000000000205,3.2099999999999795,21.60000000000082,None,90
4,1,ebook_first,21.995,7.055,1.5,0.0,None,500
4,2,ebook_first,21.994999999999997,7.340000000000003,1.2699999999999996,0.0,eBook,500
4,3,ebook_first,21.995000000000005,7.334999999999994,1.8350000000000009,0.0,eBook,500
4,4,ebook_first,21.995000000000005,7.344999999999999,1.8700000000000045,0.0,eBook,500
4,5,ebook_first,21.995000000000005,7.349999999999994,1.894999999999996,0.0,eBook,500
4,6,ebook_first,21.995000000000005,7.359999999999985,1.9200000000000017,0.0,eBook,500
4,7,ebook_first,21.995000000000005,7.1200000000000045,1.9350000000000023,0.0,None,500
4,8,ebook_first,21.995000000000005,7.405000000000001,1.6400000000000148,0.0,Book,500
4,9,ebook_first,21.995000000000005,7.319999999999993,1.884999999999991,0.0,Book,500
4,10,ebook_first,21.995000000000005,7.280000000000001,1.6850000000000023,0.0,Book,500
4,11,ebook_first,21.995000000000005,7.2450000000000045,1.545000000000016,0.0,Book,500
4,12,ebook_first,21.995000000000005,7.220000000000027,1.4449999999999932,0.0,Book,500
4,13,ebook_first,21.995000000000005,6.975000000000023,1.365000000000009,0.0,None,500
5,1,ebook_first,21.995,7.294999999999998,2.5,0.0,None,500
5,2,ebook_first,21.994999999999997,7.590000000000003,2.1799999999999997,0.0,eBook,500
5,3,ebook_first,21.995000000000005,7.5049999999999955,2.5350000000000037,0.0,eBook,500
5,4,ebook_first,21.995000000000005,7.474999999999994,2.3900000000000006,0.0,eBook,500
5,5,ebook_first,21.995000000000005,7.450000000000003,2.2849999999999966,0.0,eBook,500
5,6,ebook_first,21.995000000000005,7.435000000000002,2.210000000000008,0.0,eBook,500
5,7,ebook_first,21.995000000000005,7.180000000000007,2.155000000000001,0.0,None,500
5,8,ebook_first,21.995000000000005,7.4550000000000125,1.8400000000000034,0.0,Book,500
5,9,ebook_first,21.995000000000005,7.35499999999999,2.045000000000016,0.0,Book,500
5,10,ebook_first,21.995000000000005,7.305000000000007,1.8050000000000068,0.0,Book,500
5,11,ebook_first,21.995000000000005,7.264999999999986,1.634999999999991,0.0,Book,500
5,12,ebook_first,21.995000000000005,7.235000000000014,1.509999999999991,0.0,Book,500
5,13,ebook_first,21.995000000000005,6.990000000000009,1.4150000000000205,0.0,None,500
7,1,ebook_first,22.705000000000002,7.289999999999999,4.5,42.30000000000011,None,500
7,2,ebook_first,22.744999999999997,7.250000000000007,3.9250000000000007,44.69999999999985,eBook,500
7,3,ebook_first,22.375,7.6200000000000045,3.8999999999999986,22.5,eBook,500
7,4,ebook_first,22.200000000000003,7.644999999999996,3.3799999999999955,12.00000000000017,eBook,500
7,5,ebook_first,21.995000000000005,7.605000000000004,3.0049999999999955,0.0,eBook,500
7,6,ebook_first,21.995000000000005,7.560000000000002,2.740000000000009,0.0,eBook,500
7,7,ebook_first,21.995000000000005,7.280000000000001,2.545000000000016,0.0,None,500
7,8,ebook_first,21.995000000000005,7.539999999999992,2.194999999999993,0.0,Book,500
7,9,ebook_first,21.995000000000005,7.4199999999999875,2.325000000000017,0.0,Book,500
7,10,ebook_first,21.995000000000005,7.35499999999999,2.015000000000015,0.0,Book,500
7,11,ebook_first,21.995000000000005,7.305000000000007,1.789999999999992,0.0,Book,500
7,12,ebook_first,21.995000000000005,7.264999999999986,1.625,0.0,Book,500
7,13,ebook_first,21.995000000000005,7.009999999999991,1.5,0.0,None,500
6,1,ebook_first,22.330000000000002,7.454999999999998,3.5,19.80000000000011,None,500
6,2,ebook_first,22.275,7.715000000000003,3.0650000000000013,16.499999999999915,eBook,500
6,3,ebook_first,22.144999999999996,7.605000000000004,3.2250000000000014,8.699999999999761,eBook,500
6,4,ebook_first,21.995000000000005,7.584999999999994,2.894999999999996,0.0,eBook,500
6,5,ebook_first,21.995000000000005,7.539999999999992,2.655000000000001,0.0,eBook,500
6,6,ebook_first,21.995000000000005,7.5,2.4849999999999994,0.0,eBook,500
6,7,ebook_first,21.995000000000005,7.234999999999985,2.3549999999999898,0.0,None,500
6,8,ebook_first,21.995000000000005,7.5,2.0250000000000057,0.0,Book,500
6,9,ebook_first,21.995000000000005,7.389999999999986,2.1899999999999977,0.0,Book,500
6,10,ebook_first,21.995000000000005,7.3300000000000125,1.914999999999992,0.0,Book,500
6,11,ebook_first,21.995000000000005,7.285000000000025,1.7150000000000034,0.0,Book,500
6,12,ebook_first,21.995000000000005,7.25,1.5699999999999932,0.0,Book,500
6,13,ebook_first,21.995000000000005,7.0,1.4599999999999795,0.0,None,500
8,1,ebook_first,23.205000000000002,6.789999999999999,5.5,72.30000000000011,None,500
8,2,ebook_first,23.085,6.910000000000004,4.775000000000002,65.10000000000005,eBook,500
8,3,ebook_first,22.614999999999995,7.38000000000001,4.585000000000001,36.89999999999969,eBook,500
8,4,ebook_first,22.375,7.6200000000000045,3.8599999999999994,22.5,eBook,500
8,5,ebook_first,22.189999999999998,7.635000000000005,3.3500000000000085,11.399999999999864,eBook,500
8,6,ebook_first,21.995000000000005,7.60499999999999,2.9849999999999994,0.0,eBook,500
8,7,ebook_first,21.995000000000005,7.319999999999993,2.719999999999999,0.0,None,500
8,8,ebook_first,21.995000000000005,7.574999999999989,2.3549999999999898,0.0,Book,500
8,9,ebook_first,21.995000000000005,7.444999999999993,2.4550000000000125,0.0,Book,500
8,10,ebook_first,21.995000000000005,7.375,2.1100000000000136,0.0,Book,500
8,11,ebook_first,21.995000000000005,7.319999999999993,1.8600000000000136,0.0,Book,500
8,12,ebook_first,21.995000000000005,7.274999999999977,1.6750000000000114,0.0,Book,500
8,13,ebook_first,21.995000000000005,7.024999999999977,1.5400000000000205,0.0,None,500
9,1,ebook_first,23.735,6.260000000000002,6.0,104.09999999999997,None,500
9,2,ebook_first,23.305,6.690000000000005,5.435000000000002,78.29999999999998,eBook,500
9,3,ebook_first,22.820000000000007,7.174999999999997,5.125,49.20000000000044,eBook,500
9,4,ebook_first,22.504999999999995,7.490000000000009,4.239999999999995,30.299999999999727,eBook,500
9,5,ebook_first,22.28,7.689999999999998,3.6099999999999994,16.800000000000068,eBook,500
9,6,ebook_first,22.110000000000014,7.60499999999999,3.1700000000000017,6.6000000000008185,eBook,500
9,7,ebook_first,21.995000000000005,7.349999999999994,2.8549999999999898,0.0,None,500
9,8,ebook_first,21.995000000000005,7.60499999999999,2.4749999999999943,0.0,Book,500
9,9,ebook_first,21.995000000000005,7.465000000000003,2.5500000000000114,0.0,Book,500
9,10,ebook_first,21.995000000000005,7.389999999999986,2.180000000000007,0.0,Book,500
9,11,ebook_first,21.995000000000005,7.329999999999984,1.914999999999992,0.0,Book,500
9,12,ebook_first,21.995000000000005,7.285000000000025,1.7150000000000318,0.0,Book,500
9,13,ebook_first,21.995000000000005,7.03000000000003,1.5699999999999932,0.0,None,500
7,1,ebook_second,22.705000000000002,7.289999999999999,4.5,42.30000000000011,None,500
7,2,ebook_second,22.655,7.340000000000003,3.9250000000000007,39.30000000000007,Book,500
7,3,ebook_second,22.185000000000002,7.674999999999997,3.7450000000000045,11.100000000000136,Book,500
7,4,ebook_second,21.995000000000005,7.560000000000002,3.0700000000000074,0.0,Book,500
7,5,ebook_second,21.995000000000005,7.474999999999994,2.5700000000000074,0.0,Book,500
7,6,ebook_second,21.995000000000005,7.39500000000001,2.200000000000003,0.0,Book,500
7,7,ebook_second,21.995000000000005,7.1299999999999955,1.9300000000000068,0.0,None,500
7,8,ebook_second,21.995000000000005,7.449999999999989,1.6550000000000011,0.0,eBook,500
7,9,ebook_second,21.995000000000005,7.409999999999997,2.1299999999999955,0.0,eBook,500
7,10,ebook_second,21.995000000000005,7.400000000000006,2.0900000000000034,0.0,eBook,500
7,11,ebook_second,21.995000000000005,7.394999999999982,2.0600000000000023,0.0,eBook,500
7,12,ebook_second,21.995000000000005,7.389999999999986,2.045000000000016,0.0,eBook,500
7,13,ebook_second,21.995000000000005,7.144999999999982,2.0300000000000296,0.0,None,500
6,1,ebook_second,22.330000000000002,7.454999999999998,3.5,19.80000000000011,None,500
6,2,ebook_second,22.145000000000003,7.674999999999997,3.0650000000000013,8.700000000000188,Book,500
6,3,ebook_second,21.995000000000005,7.554999999999993,3.030000000000001,0.0,Book,500
6,4,ebook_second,21.995000000000005,7.469999999999999,2.5400000000000063,0.0,Book,500
6,5,ebook_second,21.995000000000005,7.390000000000001,2.180000000000007,0.0,Book,500
6,6,ebook_second,21.995000000000005,7.3300000000000125,1.9150000000000063,0.0,Book,500
6,7,ebook_second,21.995000000000005,7.069999999999993,1.7150000000000034,0.0,None,500
6,8,ebook_second,21.995000000000005,7.39500000000001,1.460000000000008,0.0,eBook,500
6,9,ebook_second,21.995000000000005,7.3700000000000045,1.9800000000000182,0.0,eBook,500
6,10,ebook_second,21.995000000000005,7.375,1.9749999999999943,0.0,eBook,500
6,11,ebook_second,21.995000000000005,7.375,1.9800000000000182,0.0,eBook,500
6,12,ebook_second,21.995000000000005,7.375,1.9800000000000182,0.0,eBook,500
6,13,ebook_second,21.995000000000005,7.134999999999991,1.9800000000000182,0.0,None,500
4,1,ebook_second,21.995,7.055,1.5,0.0,None,500
4,2,ebook_second,21.994999999999997,7.315000000000005,1.2699999999999996,0.0,Book,500
4,3,ebook_second,21.995000000000005,7.2549999999999955,1.6000000000000014,0.0,Book,500
4,4,ebook_second,21.995000000000005,7.230000000000004,1.4750000000000085,0.0,Book,500
4,5,ebook_second,21.995000000000005,7.209999999999994,1.3900000000000006,0.0,Book,500
4,6,ebook_second,21.995000000000005,7.194999999999993,1.3250000000000028,0.0,Book,500
4,7,ebook_second,21.995000000000005,6.949999999999989,1.2800000000000011,0.0,None,500
4,8,ebook_second,21.995000000000005,7.280000000000001,1.0600000000000023,0.0,eBook,500
4,9,ebook_second,21.995000000000005,7.289999999999992,1.6750000000000114,0.0,eBook,500
4,10,ebook_second,21.995000000000005,7.310000000000002,1.7450000000000045,0.0,eBook,500
4,11,ebook_second,21.995000000000005,7.329999999999984,1.8050000000000068,0.0,eBook,500
4,12,ebook_second,21.995000000000005,7.339999999999975,1.8500000000000227,0.0,eBook,500
4,13,ebook_second,21.995000000000005,7.105000000000018,1.884999999999991,0.0,None,500
5,1,ebook_second,21.995,7.294999999999998,2.5,0.0,None,500
5,2,ebook_second,21.994999999999997,7.535000000000004,2.1799999999999997,0.0,Book,500
5,3,ebook_second,21.995000000000005,7.414999999999992,2.3149999999999977,0.0,Book,500
5,4,ebook_second,21.995000000000005,7.355000000000004,2.010000000000005,0.0,Book,500
5,5,ebook_second,21.995000000000005,7.299999999999997,1.7849999999999966,0.0,Book,500
5,6,ebook_second,21.995000000000005,7.264999999999986,1.6200000000000045,0.0,Book,500
5,7,ebook_second,21.995000000000005,7.009999999999991,1.5,0.0,None,500
5,8,ebook_second,21.995000000000005,7.340000000000003,1.259999999999991,0.0,eBook,500
5,9,ebook_second,21.995000000000005,7.3300000000000125,1.8300000000000125,0.0,eBook,500
5,10,ebook_second,21.995000000000005,7.340000000000003,1.8600000000000136,0.0,eBook,500
5,11,ebook_second,21.995000000000005,7.350000000000023,1.8900000000000148,0.0,eBook,500
5,12,ebook_second,21.995000000000005,7.355000000000018,1.9150000000000205,0.0,eBook,500
5,13,ebook_second,21.995000000000005,7.1200000000000045,1.9350000000000023,0.0,None,500
8,1,ebook_second,23.205000000000002,6.789999999999999,5.5,72.30000000000011,None,500
8,2,ebook_second,23.03,6.965000000000003,4.775000000000002,61.80000000000007,Book,500
8,3,ebook_second,22.465000000000003,7.530000000000001,4.469999999999999,27.900000000000205,Book,500
8,4,ebook_second,22.14,7.640000000000001,3.6000000000000085,8.400000000000034,Book,500
8,5,ebook_second,21.995000000000005,7.545000000000002,2.9549999999999983,0.0,Book,500
8,6,ebook_second,21.995000000000005,7.4550000000000125,2.4849999999999994,0.0,Book,500
