simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
91,19.0,6.0,11.0,0.6499999999999999,0.625,23.95,0.5,7.610000000000014,310.065,317.675,19.860000000000014,-0.8004091959010249,-0.7049230879762941,0.15553772802775026,13.926470755826994,1.0
46,19.0,6.0,11.0,0.55,0.7,23.95,0.5,7.589999999999975,309.995,317.585,19.75999999999999,-0.8156696626878503,-0.6817057952117596,0.16413461883655128,13.845442696858816,1.0
52,19.0,6.0,11.0,0.6,0.4,24.1,0.5,7.46999999999997,310.52500000000003,317.995,20.545000000000016,-0.6849731437690456,-0.8453004137294232,0.15996243827183032,14.58228772659029,1.0
6,19.0,6.0,11.0,0.5,0.475,23.95,0.5,7.65500000000003,310.33,317.985,20.13499999999999,-0.757855587693755,-0.7679466904305727,0.16805113894097778,14.24903146141386,1.0
7,19.0,6.0,11.0,0.5,0.475,24.1,0.5,7.5400000000000205,310.455,317.995,20.420000000000016,-0.7128194608840677,-0.8246463668840017,0.16805113894097778,14.455714789123764,1.0
53,19.0,6.0,11.0,0.6,0.4,24.25,0.5,7.3349999999999795,310.66,317.995,20.845000000000027,-0.6286013194731692,-0.8963215717337305,0.15996243827183032,14.813864951830682,1.0
47,19.0,6.0,11.0,0.55,0.7,24.1,0.5,7.675000000000011,310.24,317.915,20.060000000000002,-0.779289112046504,-0.7481930912372133,0.16413461883655128,14.125590176220728,1.0
90,19.0,6.0,11.0,0.6499999999999999,0.625,23.8,0.5,7.4599999999999795,309.995,317.455,19.525000000000034,-0.8368197966011485,-0.6285928423313489,0.15553772802775026,13.892474943536,1.0
84,19.0,6.0,11.0,0.6499999999999999,0.475,24.4,0.5,7.259999999999991,310.735,317.995,21.025000000000034,-0.5956378685833656,-0.9235221952570166,0.15553772802775026,14.936044303867826,1.0
80,19.0,6.0,11.0,0.6499999999999999,0.475,23.8,0.5,7.574999999999989,310.01,317.585,19.78000000000003,-0.8039076028859676,-0.6905134888405084,0.15553772802775026,13.869819641619625,1.0
94,19.0,6.0,11.0,0.6499999999999999,0.625,24.4,0.5,7.399999999999977,310.595,317.995,20.775000000000034,-0.6559865488219798,-0.8833779701829179,0.15553772802775026,14.702010007389504,1.0
43,19.0,6.0,11.0,0.55,0.625,24.25,0.5,7.5400000000000205,310.455,317.995,20.465000000000032,-0.7138678470298885,-0.8307706463626141,0.16413461883655128,14.455714789121203,1.0
57,19.0,6.0,11.0,0.6,0.475,24.1,0.5,7.535000000000025,310.46,317.995,20.420000000000016,-0.7111599419678059,-0.8222436501630811,0.15996243827183032,14.464183591284968,1.0
