simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,indoor_light,reading_duration
83,8,chang14_ebook_second,21.995000000000005,7.175000000000011,1.9650000000000034,0.0,eBook,190,4
83,9,chang14_ebook_second,21.995000000000005,7.1699999999999875,2.405000000000001,0.0,eBook,190,4
83,10,chang14_ebook_second,21.995000000000005,7.180000000000007,2.420000000000016,0.0,eBook,190,4
83,11,chang14_ebook_second,21.995000000000005,7.180000000000007,2.4350000000000023,0.0,eBook,190,4
83,12,chang14_ebook_second,21.995000000000005,7.185000000000002,2.4499999999999886,0.0,eBook,190,4
83,13,chang14_ebook_second,21.995000000000005,6.990000000000009,2.465000000000032,0.0,None,190,4
84,1,chang14_ebook_first,22.445,7.484999999999999,3.504999999999999,26.700000000000017,None,190,4
84,2,chang14_ebook_first,22.485,7.510000000000005,3.2300000000000004,29.099999999999966,eBook,190,4
84,3,chang14_ebook_first,22.345,7.644999999999996,3.4250000000000043,20.699999999999932,eBook,190,4
84,4,chang14_ebook_first,22.269999999999996,7.595000000000013,3.210000000000008,16.19999999999976,eBook,190,4
84,5,chang14_ebook_first,22.14,7.594999999999999,3.049999999999997,8.400000000000034,eBook,190,4
84,6,chang14_ebook_first,22.039999999999992,7.600000000000023,2.924999999999997,2.3999999999995225,eBook,190,4
84,7,chang14_ebook_first,21.995000000000005,7.389999999999986,2.8300000000000125,0.0,None,190,4
84,8,chang14_ebook_first,21.995000000000005,7.594999999999999,2.5999999999999943,0.0,Book,190,4
84,9,chang14_ebook_first,21.995000000000005,7.5,2.694999999999993,0.0,Book,190,4
84,10,chang14_ebook_first,21.995000000000005,7.444999999999993,2.4250000000000114,0.0,Book,190,4
84,11,chang14_ebook_first,21.995000000000005,7.394999999999982,2.2150000000000034,0.0,Book,190,4
84,12,chang14_ebook_first,21.995000000000005,7.360000000000014,2.0500000000000114,0.0,Book,190,4
84,13,chang14_ebook_first,21.995000000000005,7.1650000000000205,1.920000000000016,0.0,None,190,4
84,1,chang14_ebook_second,22.445,7.484999999999999,3.504999999999999,26.700000000000017,None,190,4
84,2,chang14_ebook_second,22.36,7.625,3.2300000000000004,21.599999999999966,Book,190,4
84,3,chang14_ebook_second,22.125,7.560000000000002,3.2349999999999994,7.5,Book,190,4
84,4,chang14_ebook_second,21.995000000000005,7.530000000000001,2.8500000000000085,0.0,Book,190,4
84,5,chang14_ebook_second,21.995000000000005,7.474999999999994,2.555000000000007,0.0,Book,190,4
84,6,chang14_ebook_second,21.995000000000005,7.4199999999999875,2.3149999999999977,0.0,Book,190,4
84,7,chang14_ebook_second,21.995000000000005,7.219999999999999,2.1299999999999955,0.0,None,190,4
84,8,chang14_ebook_second,21.995000000000005,7.5,1.9650000000000034,0.0,eBook,190,4
84,9,chang14_ebook_second,21.995000000000005,7.485000000000014,2.405000000000001,0.0,eBook,190,4
84,10,chang14_ebook_second,21.995000000000005,7.4950000000000045,2.420000000000016,0.0,eBook,190,4
84,11,chang14_ebook_second,21.995000000000005,7.4950000000000045,2.4399999999999977,0.0,eBook,190,4
84,12,chang14_ebook_second,21.995000000000005,7.5,2.4499999999999886,0.0,eBook,190,4
84,13,chang14_ebook_second,21.995000000000005,7.300000000000011,2.465000000000032,0.0,None,190,4
86,1,chang14_ebook_first,21.995,6.684999999999999,3.5,0.0,None,190,4
86,2,chang14_ebook_first,21.994999999999997,6.910000000000004,3.2300000000000004,0.0,eBook,190,4
86,3,chang14_ebook_first,21.995000000000005,6.86999999999999,3.4200000000000017,0.0,eBook,190,4
86,4,chang14_ebook_first,21.995000000000005,6.844999999999999,3.210000000000008,0.0,eBook,190,4
86,5,chang14_ebook_first,21.995000000000005,6.825000000000003,3.0450000000000017,0.0,eBook,190,4
86,6,chang14_ebook_first,21.995000000000005,6.805000000000007,2.924999999999997,0.0,eBook,190,4
86,7,chang14_ebook_first,21.995000000000005,6.599999999999994,2.8300000000000125,0.0,None,190,4
86,8,chang14_ebook_first,21.995000000000005,6.780000000000001,2.5999999999999943,0.0,Book,190,4
86,9,chang14_ebook_first,21.995000000000005,6.735000000000014,2.694999999999993,0.0,Book,190,4
86,10,chang14_ebook_first,21.995000000000005,6.694999999999993,2.4250000000000114,0.0,Book,190,4
86,11,chang14_ebook_first,21.995000000000005,6.660000000000025,2.2150000000000034,0.0,Book,190,4
86,12,chang14_ebook_first,21.995000000000005,6.625,2.0500000000000114,0.0,Book,190,4
86,13,chang14_ebook_first,21.995000000000005,6.435000000000002,1.920000000000016,0.0,None,190,4
86,1,chang14_ebook_second,21.995,6.684999999999999,3.5,0.0,None,190,4
86,2,chang14_ebook_second,21.994999999999997,6.8600000000000065,3.2300000000000004,0.0,Book,190,4
86,3,chang14_ebook_second,21.995000000000005,6.804999999999993,3.230000000000004,0.0,Book,190,4
86,4,chang14_ebook_second,21.995000000000005,6.759999999999991,2.8500000000000085,0.0,Book,190,4
86,5,chang14_ebook_second,21.995000000000005,6.715000000000003,2.549999999999997,0.0,Book,190,4
86,6,chang14_ebook_second,21.995000000000005,6.675000000000011,2.3149999999999977,0.0,Book,190,4
86,7,chang14_ebook_second,21.995000000000005,6.47999999999999,2.1299999999999955,0.0,None,190,4
86,8,chang14_ebook_second,21.995000000000005,6.699999999999989,1.9650000000000034,0.0,eBook,190,4
86,9,chang14_ebook_second,21.995000000000005,6.7050000000000125,2.405000000000001,0.0,eBook,190,4
86,10,chang14_ebook_second,21.995000000000005,6.715000000000003,2.420000000000016,0.0,eBook,190,4
86,11,chang14_ebook_second,21.995000000000005,6.714999999999975,2.4350000000000023,0.0,eBook,190,4
86,12,chang14_ebook_second,21.995000000000005,6.720000000000027,2.4499999999999886,0.0,eBook,190,4
86,13,chang14_ebook_second,21.995000000000005,6.535000000000025,2.465000000000032,0.0,None,190,4
87,1,chang14_ebook_first,22.375,7.115000000000002,3.5,22.5,None,190,4
87,2,chang14_ebook_first,22.270000000000003,7.369999999999997,3.2300000000000004,16.200000000000188,eBook,190,4
87,3,chang14_ebook_first,22.189999999999998,7.314999999999998,3.4200000000000017,11.399999999999864,eBook,190,4
87,4,chang14_ebook_first,22.034999999999997,7.315000000000012,3.210000000000008,2.0999999999997954,eBook,190,4
87,5,chang14_ebook_first,21.995000000000005,7.299999999999997,3.0450000000000017,0.0,eBook,190,4
87,6,chang14_ebook_first,21.995000000000005,7.275000000000006,2.924999999999997,0.0,eBook,190,4
87,7,chang14_ebook_first,21.995000000000005,7.060000000000002,2.8300000000000125,0.0,None,190,4
87,8,chang14_ebook_first,21.995000000000005,7.25,2.5999999999999943,0.0,Book,190,4
87,9,chang14_ebook_first,21.995000000000005,7.180000000000007,2.694999999999993,0.0,Book,190,4
87,10,chang14_ebook_first,21.995000000000005,7.1299999999999955,2.4250000000000114,0.0,Book,190,4
87,11,chang14_ebook_first,21.995000000000005,7.0849999999999795,2.2150000000000034,0.0,Book,190,4
87,12,chang14_ebook_first,21.995000000000005,7.050000000000011,2.0500000000000114,0.0,Book,190,4
87,13,chang14_ebook_first,21.995000000000005,6.860000000000014,1.920000000000016,0.0,None,190,4
87,1,chang14_ebook_second,22.375,7.115000000000002,3.5,22.5,None,190,4
87,2,chang14_ebook_second,22.145000000000003,7.32,3.2300000000000004,8.700000000000188,Book,190,4
87,3,chang14_ebook_second,21.995000000000005,7.265000000000001,3.230000000000004,0.0,Book,190,4
87,4,chang14_ebook_second,21.995000000000005,7.209999999999994,2.8500000000000085,0.0,Book,190,4
87,5,chang14_ebook_second,21.995000000000005,7.155000000000001,2.549999999999997,0.0,Book,190,4
87,6,chang14_ebook_second,21.995000000000005,7.10499999999999,2.3149999999999977,0.0,Book,190,4
87,7,chang14_ebook_second,21.995000000000005,6.909999999999997,2.1299999999999955,0.0,None,190,4
87,8,chang14_ebook_second,21.995000000000005,7.155000000000001,1.9650000000000034,0.0,eBook,190,4
87,9,chang14_ebook_second,21.995000000000005,7.155000000000001,2.405000000000001,0.0,eBook,190,4
87,10,chang14_ebook_second,21.995000000000005,7.164999999999992,2.420000000000016,0.0,eBook,190,4
87,11,chang14_ebook_second,21.995000000000005,7.170000000000016,2.4350000000000023,0.0,eBook,190,4
87,12,chang14_ebook_second,21.995000000000005,7.170000000000016,2.4499999999999886,0.0,eBook,190,4
87,13,chang14_ebook_second,21.995000000000005,6.980000000000018,2.465000000000032,0.0,None,190,4
88,1,chang14_ebook_first,22.715,7.280000000000001,3.504999999999999,42.89999999999999,None,190,4
88,2,chang14_ebook_first,22.785000000000004,7.210000000000001,3.2300000000000004,47.10000000000022,eBook,190,4
88,3,chang14_ebook_first,22.605000000000004,7.390000000000001,3.4250000000000043,36.30000000000024,eBook,190,4
88,4,chang14_ebook_first,22.525000000000006,7.469999999999999,3.210000000000008,31.50000000000034,eBook,190,4
88,5,chang14_ebook_first,22.460000000000008,7.534999999999997,3.049999999999997,27.600000000000477,eBook,190,4
88,6,chang14_ebook_first,22.405,7.545000000000016,2.924999999999997,24.300000000000068,eBook,190,4
88,7,chang14_ebook_first,22.330000000000013,7.349999999999994,2.8300000000000125,19.80000000000075,None,190,4
88,8,chang14_ebook_first,22.200000000000017,7.569999999999993,2.5999999999999943,12.000000000001023,Book,190,4
88,9,chang14_ebook_first,22.045000000000016,7.524999999999977,2.694999999999993,2.700000000000955,Book,190,4
88,10,chang14_ebook_first,21.995000000000005,7.485000000000014,2.4250000000000114,0.0,Book,190,4
88,11,chang14_ebook_first,21.995000000000005,7.439999999999998,2.2150000000000034,0.0,Book,190,4
88,12,chang14_ebook_first,21.995000000000005,7.399999999999977,2.0500000000000114,0.0,Book,190,4
88,13,chang14_ebook_first,21.995000000000005,7.214999999999975,1.920000000000016,0.0,None,190,4
88,1,chang14_ebook_second,22.715,7.280000000000001,3.504999999999999,42.89999999999999,None,190,4
88,2,chang14_ebook_second,22.655,7.340000000000003,3.2300000000000004,39.30000000000007,Book,190,4
88,3,chang14_ebook_second,22.375,7.570000000000007,3.2349999999999994,22.5,Book,190,4
88,4,chang14_ebook_second,22.185000000000002,7.515000000000001,2.855000000000004,11.100000000000136,Book,190,4
88,5,chang14_ebook_second,21.995000000000005,7.510000000000005,2.555000000000007,0.0,Book,190,4
88,6,chang14_ebook_second,21.995000000000005,7.465000000000003,2.3149999999999977,0.0,Book,190,4
88,7,chang14_ebook_second,21.995000000000005,7.27000000000001,2.1299999999999955,0.0,None,190,4
88,8,chang14_ebook_second,21.995000000000005,7.534999999999997,1.9650000000000034,0.0,eBook,190,4
88,9,chang14_ebook_second,21.995000000000005,7.530000000000001,2.405000000000001,0.0,eBook,190,4
88,10,chang14_ebook_second,22.004999999999995,7.534999999999997,2.420000000000016,0.29999999999972715,eBook,190,4
88,11,chang14_ebook_second,22.019999999999982,7.535000000000025,2.4399999999999977,1.1999999999989086,eBook,190,4
88,12,chang14_ebook_second,22.03000000000003,7.534999999999968,2.4499999999999886,1.8000000000017735,eBook,190,4
88,13,chang14_ebook_second,21.995000000000005,7.350000000000023,2.465000000000032,0.0,None,190,4
89,1,chang14_ebook_first,22.955000000000002,7.039999999999999,3.504999999999999,57.30000000000011,None,190,4
89,2,chang14_ebook_first,23.020000000000003,6.975000000000001,3.2300000000000004,61.20000000000019,eBook,190,4
89,3,chang14_ebook_first,22.835000000000008,7.159999999999997,3.4250000000000043,50.10000000000048,eBook,190,4
89,4,chang14_ebook_first,22.760000000000005,7.234999999999999,3.210000000000008,45.60000000000031,eBook,190,4
89,5,chang14_ebook_first,22.689999999999998,7.305000000000007,3.049999999999997,41.399999999999864,eBook,190,4
89,6,chang14_ebook_first,22.64500000000001,7.349999999999994,2.924999999999997,38.700000000000614,eBook,190,4
89,7,chang14_ebook_first,22.590000000000003,7.405000000000001,2.8300000000000125,35.400000000000205,None,190,4
