simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
78,19.0,5.0,10.0,0.6,0.55,24.2,0.5,7.1650000000000205,309.995,317.16,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.93765225097586,1.0
61,18.5,7.0,8.0,0.6,0.55,24.2,0.5,6.829999999999984,310.365,317.195,20.495000000000005,-0.7032394995437831,-0.835415396014349,0.15996243827183032,14.032462562277676,1.0
62,18.5,7.0,9.0,0.6,0.55,24.2,0.5,7.0400000000000205,310.955,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.029479710344793,1.0
89,19.0,7.0,11.0,0.6,0.55,24.2,0.5,7.014999999999986,310.98,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.366293818495771,1.0
88,19.0,7.0,10.0,0.6,0.55,24.2,0.5,7.2450000000000045,310.75,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.003009701802391,1.0
63,18.5,7.0,10.0,0.6,0.55,24.2,0.5,6.7900000000000205,311.205,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.444854905477792,1.0
77,19.0,5.0,9.0,0.6,0.55,24.2,0.5,6.725000000000023,309.995,316.72,20.495000000000005,-0.7032397562392699,-0.8354151310926161,0.15996243827183032,13.959456902260742,1.0
67,18.5,8.0,9.0,0.6,0.55,24.2,0.5,6.519999999999982,311.475,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,16.08355416239886,1.0
66,18.5,8.0,8.0,0.6,0.55,24.2,0.5,6.7900000000000205,311.205,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.596297437871184,1.0
58,18.5,6.0,10.0,0.6,0.55,24.2,0.5,7.25,310.65500000000003,317.90500000000003,20.495000000000005,-0.703239499534694,-0.8354153960237325,0.15996243827183032,14.468406016347522,1.0
64,18.5,7.0,11.0,0.6,0.55,24.2,0.5,6.5849999999999795,311.41,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.720292101473152,1.0
70,18.5,9.0,7.0,0.6,0.55,24.2,0.5,6.5400000000000205,311.455,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,16.250926698762395,1.0
65,18.5,8.0,7.0,0.6,0.55,24.2,0.5,6.59499999999997,310.665,317.26,20.495000000000005,-0.7032394995435558,-0.8354153960145847,0.15996243827183032,14.506295641004483,1.0
59,18.5,6.0,11.0,0.6,0.55,24.2,0.5,7.069999999999993,310.925,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.86703726677128,1.0
103,19.5,5.0,10.0,0.6,0.55,24.2,0.5,7.339999999999975,309.995,317.335,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,14.246699492758406,1.0
117,19.5,8.0,9.0,0.6,0.55,24.2,0.5,7.480000000000018,310.515,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.95062492492103,1.0
116,19.5,8.0,8.0,0.6,0.55,24.2,0.5,7.600000000000023,309.995,317.595,20.495000000000005,-0.7032394995423332,-0.835415396015846,0.15996243827183032,13.933550777162248,1.0
102,19.5,5.0,9.0,0.6,0.55,24.2,0.5,6.90500000000003,309.995,316.90000000000003,20.495000000000005,-0.7032397562392699,-0.8354151310926161,0.15996243827183032,14.277058183035622,1.0
114,19.5,7.0,11.0,0.6,0.55,24.2,0.5,7.449999999999989,310.545,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.993184384776955,1.0
29,18.0,5.0,11.0,0.6,0.55,24.2,0.5,6.985000000000014,310.77,317.755,20.495000000000005,-0.7032394995406857,-0.8354153960175478,0.15996243827183032,14.292820458618301,1.0
28,18.0,5.0,10.0,0.6,0.55,24.2,0.5,6.75,310.22,316.97,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.629632422249548,1.0
115,19.5,8.0,7.0,0.6,0.55,24.2,0.5,6.980000000000018,309.995,316.975,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.823464080221791,1.0
111,19.5,7.0,8.0,0.6,0.55,24.2,0.5,7.199999999999989,309.995,317.195,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,14.033958167795967,1.0
4,17.5,5.0,11.0,0.6,0.55,24.2,0.5,6.670000000000016,311.3,317.97,20.495000000000005,-0.7032394995032153,-0.8354153960562183,0.15996243827183032,14.693074817454432,1.0
104,19.5,5.0,11.0,0.6,0.55,24.2,0.5,7.694999999999993,309.995,317.69,20.495000000000005,-0.7032394995439161,-0.8354153960142139,0.15996243827183032,14.17023718888664,1.0
110,19.5,7.0,7.0,0.6,0.55,24.2,0.5,6.560000000000002,309.995,316.555,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,13.901055069792145,1.0
106,19.5,6.0,8.0,0.6,0.55,24.2,0.5,6.7900000000000205,309.995,316.785,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,14.131795742456545,1.0
112,19.5,7.0,9.0,0.6,0.55,24.2,0.5,7.704999999999984,309.995,317.7,20.495000000000005,-0.7032394995429944,-0.8354153960151607,0.15996243827183032,14.04348870953595,1.0
113,19.5,7.0,10.0,0.6,0.55,24.2,0.5,7.714999999999975,310.28000000000003,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.528033785579767,1.0
107,19.5,6.0,9.0,0.6,0.55,24.2,0.5,7.310000000000002,309.995,317.305,20.495000000000005,-0.703239499544144,-0.8354153960139785,0.15996243827183032,14.161313610959308,1.0
